Name,Governance Type,Governing Body,Governing Body Members,Role,Annual Compensation,Elected or Appointed,Years in Office
AMARILLO MUTUAL WATER COMPANY,Mutual Water Company,Officers,John Holzinger,Vice President,$0,No Data,No Data
AMARILLO MUTUAL WATER COMPANY,Mutual Water Company,Officers,Rose Hare,Secretary,$0,No Data,No Data
AMARILLO MUTUAL WATER COMPANY,Mutual Water Company,Officers,Ernest Martinez,President,$0,No Data,No Data
ANTELOPE PARK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Elizabeth Green,President,"$15,315",No Data,No Data
ANTELOPE PARK MUTUAL WATER COMPANY,Mutual Water Company,Officers,William Hunt,Vice President,$0,No Data,No Data
ANTELOPE PARK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Toni Retana,Secretary,$0,No Data,No Data
ANTELOPE PARK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Sharon Schultz,Treasurer,"$20,400",No Data,No Data
ANTELOPE PARK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Cynthia Chavira-Granillo,Assistant Treasurer,$0,No Data,No Data
ANTELOPE VALLEY-EAST KERN WATER AGENCY,Special District,Board of Directors,Audrey Miller,Director,"$21,996",No Data,1
ANTELOPE VALLEY-EAST KERN WATER AGENCY,Special District,Board of Directors,Justin Lane,Director,"$21,996",No Data,3
ANTELOPE VALLEY-EAST KERN WATER AGENCY,Special District,Board of Directors,Gary Van Dam,Director,"$21,996",No Data,3
ANTELOPE VALLEY-EAST KERN WATER AGENCY,Special District,Board of Directors,Shelley Sorsabal,President; Director,"$21,996",No Data,5
ANTELOPE VALLEY-EAST KERN WATER AGENCY,Special District,Board of Directors,Robert Parris,Director,"$21,996",No Data,6
ANTELOPE VALLEY-EAST KERN WATER AGENCY,Special District,Board of Directors,Keith Dyas,Vice President; Director,"$21,996",No Data,19
ANTELOPE VALLEY-EAST KERN WATER AGENCY,Special District,Board of Directors,Frank Donato,Director,"$21,996",No Data,33
AQUA J MUTUAL WATER COMPANY,Mutual Water Company,Officers,Douglas Mead,President,$0,No Data,No Data
AQUA J MUTUAL WATER COMPANY,Mutual Water Company,Officers,Ronald Ginn,Vice President,$0,No Data,No Data
AQUA J MUTUAL WATER COMPANY,Mutual Water Company,Officers,Angela Thompson,Secretary,$0,No Data,No Data
AVERYDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Barry Braman,Officer/ Vice President,$440,No Data,No Data
AVERYDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Garry Everson,Director,$0,No Data,No Data
AVERYDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Anna Riquelme,Officer/ Treasurer/ Secretary,$440,No Data,No Data
AVERYDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Ruby Cosby,Director,$480,No Data,No Data
